name,team_label,games,wins,losses
Mike Woodson,ATL,82,30,52
Doc Rivers,BOS,82,24,58
Bernie Bickerstaff,CHA,82,33,49
Scott Skiles,CHI,82,49,33
Mike Brown,CLE,82,50,32
Avery Johnson,DAL,82,67,15
George Karl,DEN,82,45,37
Flip Saunders,DET,82,53,29
Don Nelson,GSW,82,42,40
Jeff Van Gundy,HOU,82,52,30
Rick Carlisle,IND,82,35,47
Mike Dunleavy,LAC,82,40,42
Phil Jackson,LAL,82,42,40
Mike Fratello,MEM,30,6,24
Tony Barone,MEM,52,16,36
Pat Riley,MIA,82,44,38
Terry Stotts,MIL,64,23,41
Larry Krystkowiak,MIL,18,5,13
Dwane Casey,MIN,40,20,20
Randy Wittman,MIN,42,12,30
Lawrence Frank,NJN,82,41,41
Byron Scott,NOK,82,39,43
Isiah Thomas,NYK,82,33,49
Brian Hill,ORL,82,40,42
Maurice Cheeks,PHI,82,35,47
Mike D'Antoni,PHX,82,61,21
Nate McMillan,POR,82,32,50
Eric Musselman,SAC,82,33,49
Gregg Popovich,SAS,82,58,24
Bob Hill,SEA,82,31,51
Sam Mitchell,TOR,82,47,35
Jerry Sloan,UTA,82,51,31
Eddie Jordan,WAS,82,41,41
