name,team_label,games,wins,losses
Mike Woodson,ATL,82,47,35
Doc Rivers,BOS,82,62,20
Larry Brown,CHA,82,35,47
Vinny Del Negro,CHI,82,41,41
Mike Brown,CLE,82,66,16
Rick Carlisle,DAL,82,50,32
George Karl,DEN,82,54,28
Michael Curry,DET,82,39,43
Don Nelson,GSW,82,29,53
Rick Adelman,HOU,82,53,29
Jim O'Brien,IND,82,36,46
Mike Dunleavy,LAC,82,19,63
Phil Jackson,LAL,82,65,17
Marc Iavaroni,MEM,41,11,30
Johnny Davis,MEM,2,0,2
Lionel Hollins,MEM,39,13,26
Erik Spoelstra,MIA,82,43,39
Scott Skiles,MIL,82,34,48
Randy Wittman,MIN,19,4,15
Kevin McHale,MIN,63,20,43
Lawrence Frank,NJN,82,34,48
Byron Scott,NOH,82,49,33
Mike D'Antoni,NYK,82,32,50
P.J. Carlesimo,OKC,13,1,12
Scott Brooks,OKC,69,22,47
Stan Van Gundy,ORL,82,59,23
Maurice Cheeks,PHI,23,9,14
Tony DiLeo,PHI,59,32,27
Terry Porter,PHX,51,28,23
Alvin Gentry,PHX,31,18,13
Nate McMillan,POR,82,54,28
Reggie Theus,SAC,24,6,18
Kenny Natt,SAC,58,11,47
Gregg Popovich,SAS,82,54,28
Sam Mitchell,TOR,17,8,9
Jay Triano,TOR,65,25,40
Jerry Sloan,UTA,82,48,34
Eddie Jordan,WAS,11,1,10
Ed Tapscott,WAS,71,18,53
