name,team_label,games,wins,losses
Mike Woodson,ATL,82,53,29
Doc Rivers,BOS,82,50,32
Larry Brown,CHA,82,44,38
inny Del Negro,CHI,82,41,41
Mike Brown,CLE,82,61,21
Rick Carlisle,DAL,82,55,27
George Karl,DEN,82,53,29
John Kuester,DET,82,27,55
Don Nelson,GSW,82,26,56
Rick Adelman,HOU,82,42,40
Jim O'Brien,IND,82,32,50
Mike Dunleavy,LAC,49,21,28
Kim Hughes,LAC,33,8,25
Phil Jackson,LAL,82,57,25
Lionel Hollins,MEM,82,40,42
Erik Spoelstra,MIA,82,47,35
Scott Skiles,MIL,82,46,36
Kurt Rambis,MIN,82,15,67
Lawrence Frank,NJN,16,0,16
Tom Barrise,NJN,2,0,2
Kiki andeweghe,NJN,64,12,52
Byron Scott,NOH,9,3,6
Jeff Bower,NOH,73,34,39
Mike D'Antoni,NYK,82,29,53
Scott Brooks,OKC,82,50,32
Stan an Gundy,ORL,82,59,23
Eddie Jordan,PHI,82,27,55
Alvin Gentry,PHX,82,54,28
Nate McMillan,POR,82,50,32
Paul Westphal,SAC,82,25,57
Gregg Popovich,SAS,82,50,32
Jay Triano,TOR,82,40,42
Jerry Sloan,UTA,82,53,29
Flip Saunders,WAS,82,26,56
