name,team_label,games,wins,losses
Larry Drew,ATL,66,40,26
Doc Rivers,BOS,66,39,27
Paul Silas,CHA,66,7,59
Tom Thibodeau,CHI,66,50,16
Byron Scott,CLE,66,21,45
Rick Carlisle,DAL,66,36,30
George Karl,DEN,66,38,28
Lawrence Frank,DET,66,25,41
Mark Jackson,GSW,66,23,43
Kevin McHale,HOU,66,34,32
Frank Vogel,IND,66,42,24
Vinny Del Negro,LAC,66,40,26
Mike Brown,LAL,66,41,25
Lionel Hollins,MEM,66,41,25
Erik Spoelstra,MIA,66,46,20
Scott Skiles,MIL,66,31,35
Rick Adelman,MIN,66,26,40
Avery Johnson,NJN,66,22,44
Monty Williams,NOH,66,21,45
Mike D'Antoni,NYK,42,18,24
Mike Woodson,NYK,24,18,6
Scott Brooks,OKC,66,47,19
Stan Van Gundy,ORL,66,37,29
Doug Collins,PHI,66,35,31
Alvin Gentry,PHX,66,33,33
Nate McMillan,POR,43,20,23
Kaleb Canales,POR,23,8,15
Paul Westphal,SAC,7,2,5
Keith Smart,SAC,59,20,39
Gregg Popovich,SAS,66,50,16
Dwane Casey,TOR,66,23,43
Tyrone Corbin,UTA,66,36,30
Flip Saunders,WAS,17,2,15
Randy Wittman,WAS,49,18,31
