name,team_label,games,wins,losses
Mike Budenholzer,ATL,82,24,58
Brad Stevens,BOS,82,55,27
Kenny Atkinson,BKN,82,28,54
Fred Hoiberg,CHI,82,27,55
Steve Clifford,CHA,82,36,46
Tyronn Lue,CLE,82,50,32
Rick Carlisle,DAL,82,24,58
Mike Malone,DEN,82,46,36
Stan Van Gundy,DET,82,39,43
Steve Kerr,GSW,82,58,24
Mike D'Antoni,HOU,82,65,17
Nate McMillan,IND,82,48,34
Doc Rivers,LAC,82,42,40
Luke Walton,LAL,82,35,47
David Fizdale,MEM,19,7,12
J.B. Bickerstaff,MEM,63,15,48
Erik Spoelstra,MIA,82,44,38
Jason Kidd,MIL,45,23,22
Joe Prunty,MIL,37,21,16
Tom Thibodeau,MIN,82,47,35
Alvin Gentry,NOP,82,48,34
Jeff Hornacek,NYK,82,29,53
Billy Donovan,OKC,82,48,34
Frank Vogel,ORL,82,25,57
Brett Brown,PHI,82,52,30
Earl Watson,PHX,3,0,3
Jay Triano,PHX,79,21,58
Terry Stotts,POR,82,49,33
Dave Joerger,SAC,82,27,55
Gregg Popovich,SAS,82,47,35
Dwane Casey,TOR,82,59,23
Quin Snyder,UTA,82,48,34
Scott Brooks,WAS,82,43,39
