name,team_label,games,wins,losses
Lloyd Pierce,ATL,82,29,53
Brad Stevens,BOS,82,49,33
Kenny Atkinson,BKN,82,42,40
Fred Hoiberg,CHI,24,5,19
Jim Boylen,CHI,58,17,41
James Borrego,CHA,82,39,43
Tyronn Lue,CLE,6,0,6
Larry Drew,CLE,76,19,57
Rick Carlisle,DAL,82,33,49
Mike Malone,DEN,82,54,28
Dwane Casey,DET,82,41,41
Steve Kerr,GSW,82,57,25
Mike D'Antoni,HOU,82,53,29
Nate McMillan,IND,82,48,34
Doc Rivers,LAC,82,48,34
Luke Walton,LAL,82,37,45
J.B. Bickerstaff,MEM,82,33,49
Erik Spoelstra,MIA,82,39,43
Mike Budenholzer,MIL,82,60,22
Tom Thibodeau,MIN,40,19,21
Ryan Saunders,MIN,42,17,25
Alvin Gentry,NOP,82,33,49
David Fizdale,NYK,82,17,65
Billy Donovan,OKC,82,49,33
Steve Clifford,ORL,82,42,40
Brett Brown,PHI,82,51,31
Igor Kokoskov,PHX,82,19,63
Terry Stotts,POR,82,53,29
Dave Joerger,SAC,82,39,43
Gregg Popovich,SAS,82,48,34
Nick Nurse,TOR,82,58,24
Quin Snyder,UTA,82,50,32
Scott Brooks,WAS,82,32,50
